<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.04.26	03:00:00	0.68674	0.68751	0.68660	0.68698	2627	2554000000	21
2016.04.26	04:00:00	0.68698	0.68804	0.68674	0.68779	2725	2432137000	21
2016.04.26	05:00:00	0.68779	0.68868	0.68754	0.68813	2622	2211388000	21
2016.04.26	06:00:00	0.68810	0.68862	0.68722	0.68749	2475	2447450000	21
2016.04.26	07:00:00	0.68750	0.68796	0.68730	0.68763	1875	1241154000	21
2016.04.26	08:00:00	0.68762	0.68792	0.68723	0.68781	2156	1878850000	21
2016.04.26	09:00:00	0.68781	0.68857	0.68676	0.68684	3855	3109467000	21
2016.04.26	10:00:00	0.68680	0.68964	0.68647	0.68886	6005	7138031000	21
2016.04.26	11:00:00	0.68884	0.68930	0.68801	0.68911	4867	4049550000	21
2016.04.26	12:00:00	0.68908	0.68969	0.68828	0.68860	5326	5432067000	21
2016.04.26	13:00:00	0.68860	0.68899	0.68793	0.68852	4208	3936180000	21
2016.04.26	14:00:00	0.68852	0.68880	0.68690	0.68721	3812	3872360000	21
2016.04.26	15:00:00	0.68719	0.68945	0.68708	0.68885	5763	6300820000	21
2016.04.26	16:00:00	0.68886	0.69092	0.68877	0.69034	5957	7404246000	21
2016.04.26	17:00:00	0.69032	0.69063	0.68811	0.68893	6383	6763992000	21
2016.04.26	18:00:00	0.68893	0.68933	0.68808	0.68921	4614	5573400000	21
2016.04.26	19:00:00	0.68921	0.68949	0.68787	0.68811	3110	3468046000	21
2016.04.26	20:00:00	0.68811	0.68853	0.68768	0.68832	2277	2214846000	21
2016.04.26	21:00:00	0.68831	0.68880	0.68809	0.68819	2160	1805747000	21
2016.04.26	22:00:00	0.68819	0.68880	0.68809	0.68864	1909	1985249000	21
2016.04.26	23:00:00	0.68865	0.69004	0.68865	0.68970	2012	2285891000	21
2016.04.27	00:00:00	0.68923	0.69024	0.68922	0.68936	468	351699000	0
2016.04.27	01:00:00	0.68945	0.69052	0.68923	0.68950	2050	2180690000	21
2016.04.27	02:00:00	0.68950	0.69010	0.68855	0.68898	1706	1550550000	21
2016.04.27	03:00:00	0.68899	0.68972	0.68882	0.68918	2347	2643693000	0
2016.04.27	04:00:00	0.68916	0.69036	0.68673	0.68780	4648	3473846000	21
2016.04.27	05:00:00	0.68788	0.68908	0.68696	0.68802	3582	3437546000	21
2016.04.27	06:00:00	0.68801	0.68828	0.68711	0.68733	3504	3258050000	21
2016.04.27	07:00:00	0.68734	0.68831	0.68729	0.68793	2682	2205000000	21
2016.04.27	08:00:00	0.68793	0.68793	0.68700	0.68703	3190	3103800000	21
2016.04.27	09:00:00	0.68703	0.68814	0.68586	0.68784	5213	5737658000	21
2016.04.27	10:00:00	0.68783	0.68812	0.68613	0.68673	5222	5319520000	21
2016.04.27	11:00:00	0.68672	0.68769	0.68544	0.68582	5251	4811004000	21
2016.04.27	12:00:00	0.68583	0.68599	0.68378	0.68491	4081	4834300000	21
2016.04.27	13:00:00	0.68491	0.68593	0.68458	0.68544	3236	4499847000	21
2016.04.27	14:00:00	0.68545	0.68615	0.68416	0.68499	4399	4871350000	21
2016.04.27	15:00:00	0.68498	0.68639	0.68404	0.68608	5494	5447999000	21
2016.04.27	16:00:00	0.68610	0.68618	0.68503	0.68554	5353	5006035000	21
2016.04.27	17:00:00	0.68554	0.68623	0.68468	0.68502	6298	4700538000	21
2016.04.27	18:00:00	0.68500	0.68508	0.68374	0.68487	5433	6032997000	21
